대여일자,대여건수
2024-01-01,46628
2024-01-02,86401
2024-01-03,71808
2024-01-04,90108
2024-01-05,94927
2024-01-06,57180
2024-01-07,31453
2024-01-08,64954
2024-01-09,38225
2024-01-10,68182
2024-01-11,81574
2024-01-12,83980
2024-01-13,64103
2024-01-14,29012
2024-01-15,69544
2024-01-16,78773
2024-01-17,36751
2024-01-18,75781
2024-01-19,90533
2024-01-20,41784
2024-01-21,36990
2024-01-22,48141
2024-01-23,43598
2024-01-24,50773
2024-01-25,62375
2024-01-26,75067
2024-01-27,57701
2024-01-28,48386
2024-01-29,78804
2024-01-30,86601
2024-01-31,93214
2024-02-01,91544
2024-02-02,94974
2024-02-03,67695
2024-02-04,72953
2024-02-05,28210
2024-02-06,75271
2024-02-07,83375
2024-02-08,87766
2024-02-09,46882
2024-02-10,34185
2024-02-11,42844
2024-02-12,65447
2024-02-13,105499
2024-02-14,123164
2024-02-15,56314
2024-02-16,99958
2024-02-17,89419
2024-02-18,39094
2024-02-19,39918
2024-02-20,54441
2024-02-21,9619
2024-02-22,29138
2024-02-23,75743
2024-02-24,55705
2024-02-25,49385
2024-02-26,98027
2024-02-27,104192
2024-02-28,108938
2024-02-29,102015
2024-03-01,45204
2024-03-02,54616
2024-03-03,65373
2024-03-04,108123
2024-03-05,110781
2024-03-06,116840
2024-03-07,98089
2024-03-08,99708
2024-03-09,78186
2024-03-10,81205
2024-03-11,114642
2024-03-12,79702
2024-03-13,120871
2024-03-14,126960
2024-03-15,130984
2024-03-16,118337
2024-03-17,87958
2024-03-18,123585
2024-03-19,102650
2024-03-20,112271
2024-03-21,122109
2024-03-22,81659
2024-03-23,123505
2024-03-24,142056
2024-03-25,58731
2024-03-26,87493
2024-03-27,141397
2024-03-28,88262
2024-03-29,91985
2024-03-30,111705
2024-03-31,126243
2024-04-01,150002
2024-04-02,167903
2024-04-03,152464
2024-04-04,169116
2024-04-05,175780
2024-04-06,160694
2024-04-07,155134
2024-04-08,165760
2024-04-09,175200
2024-04-10,153280
2024-04-11,159020
2024-04-12,178590
2024-04-13,162840
2024-04-14,147697
2024-04-15,62443
2024-04-16,121310
2024-04-17,163251
2024-04-18,170395
2024-04-19,176559
2024-04-20,41458
2024-04-21,129191
2024-04-22,176577
2024-04-23,151845
2024-04-24,109248
2024-04-25,170659
2024-04-26,180700
2024-04-27,161805
2024-04-28,147985
2024-04-29,180040
2024-04-30,182958
2024-05-01,181443
2024-05-02,186109
2024-05-03,190519
